Harper Lee
George Orwell
F. Scott Fitzgerald
Aldous Huxley
J.D. Salinger
Gabriel Garcia Marquez
J.R.R. Tolkien
Jane Austen
Paulo Coelho
J.K. Rowling
Virginia Woolf
Dan Brown
John Steinbeck
Stephen King
Suzanne Collins
Cormac McCarthy
Margaret Mitchell
Herman Melville
Mary Shelley
Homer
Oscar Wilde
Fyodor Dostoevsky
Charles Dickens
Emily Brontë
Arthur Conan Doyle
Dante Alighieri
Leo Tolstoy
Nathaniel Hawthorne
Alexandre Dumas
Albert Camus
C.S. Lewis
Ernest Hemingway
Franz Kafka
H.G. Wells
Bram Stoker
S.E. Hinton
Kenneth Grahame
Antoine de Saint-Exupéry
Anne Frank
Rudyard Kipling
Douglas Adams
Thomas Harris
Sun Tzu
Stieg Larsson
William Goldman
Margaret Atwood
Lois Lowry
Andy Weir
John Green
Khaled Hosseini
Paula Hawkins
Kathryn Stockett
James Dashner
Robert Ludlum
Alice Walker
Donna Tartt
Markus Zusak
M. Scott Peck
Irma S. Rombauer
William Strunk Jr.
Eckhart Tolle
