Title,Author,Language,Genre,Publication_Year
To Kill a Mockingbird,Harper Lee,English,Fiction,1960
1984,George Orwell,English,Dystopian,1949
The Great Gatsby,F. Scott Fitzgerald,English,Classic,1925
Brave New World,Aldous Huxley,English,Dystopian,1932
The Catcher in the Rye,J.D. Salinger,English,Fiction,1951
One Hundred Years of Solitude,Gabriel Garcia Marquez,Spanish,Magic Realism,1967
The Hobbit,J.R.R. Tolkien,English,Fantasy,1937
Pride and Prejudice,Jane Austen,English,Romance,1813
The Lord of the Rings,J.R.R. Tolkien,English,Fantasy,1954
The Alchemist,Paulo Coelho,Portuguese,Fiction,1988
Harry Potter and the Sorcerer's Stone,J.K. Rowling,English,Fantasy,1997
To the Lighthouse,Virginia Woolf,English,Modernist,1927
Animal Farm,George Orwell,English,Satire,1945
The Grapes of Wrath,John Steinbeck,English,Fiction,1939
The Da Vinci Code,Dan Brown,English,Thriller,2003
The Shining,Stephen King,English,Horror,1977
The Hunger Games,Suzanne Collins,English,Science Fiction,2008
The Road,Cormac McCarthy,English,Post-Apocalyptic,2006
Gone with the Wind,Margaret Mitchell,English,Historical Fiction,1936
Moby-Dick,Herman Melville,English,Adventure,1851
Frankenstein,Mary Shelley,English,Horror,1818
The Odyssey,Homer,Greek,Epic Poetry,-800
The Catcher in the Rye,J.D. Salinger,English,Fiction,1951
The Picture of Dorian Gray,Oscar Wilde,English,Classic,1890
The Brothers Karamazov,Fyodor Dostoevsky,Russian,Philosophical,1880
The Great Expectations,Charles Dickens,English,Classic,1861
Wuthering Heights,Emily Brontë,English,Romanticism,1847
Crime and Punishment,Fyodor Dostoevsky,Russian,Psychological Fiction,1866
The Adventures of Sherlock Holmes,Arthur Conan Doyle,English,Detective,1892
The Divine Comedy,Dante Alighieri,Italian,Allegory,1320
Anna Karenina,Leo Tolstoy,Russian,Realist,1877
The Scarlet Letter,Nathaniel Hawthorne,English,Romance,1850
The War and Peace,Leo Tolstoy,Russian,Historical Fiction,1869
The Count of Monte Cristo,Alexandre Dumas,French,Adventure,1844
The Stranger,Albert Camus,French,Existentialism,1942
The Chronicles of Narnia,C.S. Lewis,English,Fantasy,1950
The Old Man and the Sea,Ernest Hemingway,English,Novella,1952
The Three Musketeers,Alexandre Dumas,French,Adventure,1844
The Iliad,Homer,Greek,Epic Poetry,-800
The Metamorphosis,Franz Kafka,German,Surrealism,1915
The Time Machine,H.G. Wells,English,Science Fiction,1895
Dracula,Bram Stoker,English,Horror,1897
The Outsiders,S.E. Hinton,English,Young Adult,1967
The Chronicles of Narnia,C.S. Lewis,English,Fantasy,1950
The Wind in the Willows,Kenneth Grahame,English,Children's Literature,1908
The Little Prince,Antoine de Saint-Exupéry,French,Children's Literature,1943
The Diary of a Young Girl,Anne Frank,Dutch,Biography,1947
The Jungle Book,Rudyard Kipling,English,Children's Literature,1894
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,Science Fiction,1979
The Silence of the Lambs,Thomas Harris,English,Psychological Thriller,1988
The Art of War,Sun Tzu,Chinese,Military,5th Century BC
The Girl with the Dragon Tattoo,Stieg Larsson,Swedish,Thriller,2005
The Princess Bride,William Goldman,English,Fantasy,1973
The Handmaid's Tale,Margaret Atwood,English,Dystopian,1985
The Giver,Lois Lowry,English,Science Fiction,1993
The Martian,Andy Weir,English,Science Fiction,2011
The Stand,Stephen King,English,Post-Apocalyptic,1978
The Fault in Our Stars,John Green,English,Young Adult,2012
The Kite Runner,Khaled Hosseini,English,Fiction,2003
The Girl on the Train,Paula Hawkins,English,Thriller,2015
The Help,Kathryn Stockett,English,Historical Fiction,2009
The Maze Runner,James Dashner,English,Young Adult,2009
The Bourne Identity,Robert Ludlum,English,Thriller,1980
The Color Purple,Alice Walker,English,Fiction,1982
The Goldfinch,Donna Tartt,English,Fiction,2013
The Book Thief,Markus Zusak,English,Historical Fiction,2005
The Road Less Traveled,M. Scott Peck,English,Psychology,1978
The Joy of Cooking,Irma S. Rombauer,English,Cookbook,1936
The Elements of Style,William Strunk Jr.,English,Writing,1918
The Power of Now,Eckhart Tolle,English,Spirituality,1997
